time,ankle_angle_r,ankle_angle_l
1.8666667,-31.02933977,-2.47393828
1.8833333,-24.65278288,-3.04509581
1.9,-18.02943472,-5.35054609
1.9166667,-13.22307777,-7.40775402
1.9333333,-11.21203504,-9.94807321
1.95,-10.72365312,-11.61622853
1.9666667,-10.81440351,-11.40591508
1.9833333,-11.00718399,-10.77157947
2.0,-11.02051596,-11.13944427
2.0166667,-10.79574577,-13.20072031
2.0333333,-9.53882085,-15.97669056
2.05,-7.94968983,-18.82771914
2.0666667,-6.16170153,-20.48210723
2.0833333,-5.17424569,-20.81200337
2.1,-5.08780821,-20.48092535
2.1166667,-5.40915855,-20.30674493
2.1333333,-6.00174053,-20.32120009
2.15,-6.36651295,-20.3026058
2.1666667,-6.7483075,-20.10858314
2.1833333,-7.75181689,-20.19858545
2.2,-9.18001598,-20.39903357
2.2166667,-11.54209455,-20.87974916
2.2333333,-14.15442905,-21.07726605
2.25,-16.26066123,-20.45675679
2.2666667,-17.5475949,-19.50451999
2.2833333,-18.27754468,-18.29273094
2.3,-18.53222564,-17.21377514
2.3166667,-18.35945426,-16.090571
2.3333333,-17.49402341,-14.93235935
2.35,-15.97278859,-12.4913167
2.3666667,-0.0659975,-9.65455279
2.3833333,5.70450129,-6.6613264
2.4,0.17886232,-4.30866305
2.4166667,-5.58106235,-3.16474005
2.4333333,-8.9967505,-2.29195472
2.45,-9.24936097,-1.72853136
2.4666667,-5.64195954,-0.23870487
2.4833333,1.00399075,2.25772785
2.5,7.50607611,5.42636139
2.5166667,11.31480565,7.03043808
2.5333333,13.05271361,6.46355303
2.55,13.79397563,4.99116984
2.5666667,14.23971217,4.10717819
2.5833333,14.00248617,4.57873697
2.6,11.4515286,5.41111948
2.6166667,4.41685744,5.43848095
2.6333333,-4.35965437,4.78668834
2.65,-12.12011644,3.70861303
2.6666667,-19.24824474,3.01681928
2.6833333,-25.44058877,3.00754006
2.7,-30.13701271,3.5163837
2.7166667,-33.43787079,3.8553488
2.7333333,-35.51195615,4.23709915
2.75,-36.59848666,4.46072097
2.7666667,-37.10791325,4.10134555
2.7833333,-36.28946599,3.09401428
2.8,-35.33425489,1.13837756
2.8166667,-33.72136495,-0.81995532
2.8333333,-31.33574031,-2.83740828
2.85,-28.29216432,-4.89409926
2.8666667,-25.09958374,-6.53662488
2.8833333,-22.21859737,-7.32964965
2.9,-20.17936286,-6.57180604
2.9166667,-19.96960469,-4.43847323
2.9333333,-20.28827277,-2.28224842
2.95,-21.08884399,-0.50496753
2.9666667,-22.13241359,-0.08508945
2.9833333,-24.03238126,0.10451214
3.0,-26.30160015,0.81427536
3.0166667,-27.55458383,3.43291335
3.0333333,-26.69310381,6.29023885
3.05,-24.97240379,9.34097541
3.0666667,-25.85784563,10.28867778
3.0833333,-29.86455191,8.49095605
3.1,-32.4639856,3.49228419
3.1166667,-33.86222349,-2.00608614
3.1333333,-32.41050625,-1.96500719
3.15,-29.9787697,-3.47771669
3.1666667,-25.69233139,-4.08677517
3.1833333,-20.4526944,-3.70610217
3.2,-15.95485209,-3.15629954
3.2166667,-13.17678446,-2.90532272
3.2333333,-11.82392257,-3.71604644
3.25,-10.97258512,-5.56257654
3.2666667,-10.08168104,-8.64108602
3.2833333,-9.24190152,-7.85822016
3.3,-8.5719886,-4.90577415
3.3166667,-8.27579885,-4.64031496
3.3333333,-8.14985085,-6.88720172
3.35,-7.96393445,-10.90045544
3.3666667,-7.25901656,-14.56581953
3.3833333,-6.73841111,-16.66854636
3.4,-6.36107915,-17.38133706
3.4166667,-6.44788237,-18.08255506
3.4333333,-6.80713117,-18.8434273
3.45,-7.27518729,-19.27026505
3.4666667,-7.50776948,-19.22555825
3.4833333,-7.67644241,-19.13279288
3.5,-8.05259841,-19.23547713
3.5166667,-8.52681718,-19.4035074
3.5333333,-9.63863095,-19.25217945
3.55,-11.48761367,-18.39893668
3.5666667,-13.9904853,-17.34933334
3.5833333,-16.36433486,-16.11413152
3.6,-17.57637343,-15.18817585
