imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp,dorsiflexion_angle
372.07,-268.8,892.82,2.2,-0.73,-0.18,-23.37,-14.38,34.81,2025-03-12T10:13:32.430881,980.47,-137.45,-124.27,10.18,-0.49,1.1,-101.98,-4.7,17.21,2025-03-12T10:13:32.430881,0.07504571261193538
365.72,-271.48,898.93,1.77,-1.34,-0.24,-23.35,-14.41,34.83,2025-03-12T10:13:32.477456,981.45,-132.08,-144.29,6.22,-0.18,0.12,-101.96,-4.6,17.26,2025-03-12T10:13:32.477456,0.10053691490512984
375.24,-263.67,898.44,2.38,-0.67,0.12,-23.52,-14.08,36.46,2025-03-12T10:13:32.500776,965.33,-130.13,-140.14,2.5,-0.98,-0.18,-101.91,-4.5,17.41,2025-03-12T10:13:32.500776,0.12740353382627262
360.84,-263.18,898.93,1.65,-1.34,-0.24,,,,2025-03-12T10:13:32.532555,983.15,-132.57,-102.29,-3.05,-2.38,-1.04,-101.82,-4.38,17.51,2025-03-12T10:13:32.532555,0.17496561674647604
375.24,-255.86,894.29,1.28,-1.22,-0.85,-23.31,-14.48,34.92,2025-03-12T10:13:32.582099,996.34,-154.79,-123.54,3.66,-2.38,-2.13,-101.72,-4.28,17.71,2025-03-12T10:13:32.582099,0.22149640855335373
363.53,-261.23,894.78,1.46,-0.79,-1.04,-23.28,-14.47,34.95,2025-03-12T10:13:32.602846,986.33,-104.0,-134.52,-4.15,-2.68,-1.59,-101.62,-4.19,17.74,2025-03-12T10:13:32.602846,0.26666718737377626
380.86,-252.93,896.24,0.79,-1.59,-0.49,-23.29,-14.55,34.97,2025-03-12T10:13:32.637994,987.3,-129.88,-142.09,1.46,-1.77,-2.13,-101.4,-4.09,18.13,2025-03-12T10:13:32.637994,0.31083630201303414
369.63,-277.34,891.85,0.37,-1.77,-0.91,-23.26,-14.6,34.97,2025-03-12T10:13:32.675715,976.07,-103.27,-142.58,-3.29,-2.2,-2.5,-101.22,-4.08,18.17,2025-03-12T10:13:32.675715,0.36097015093104323
372.07,-251.22,891.11,0.12,-2.44,-0.37,-23.26,-14.63,34.99,2025-03-12T10:13:32.710899,985.6,-124.02,-132.57,-2.5,-0.98,-1.46,-101.05,-4.0,18.18,2025-03-12T10:13:32.710899,0.4056886518091472
369.14,-263.92,885.74,0.18,-1.34,-0.67,-23.27,-14.66,35.02,2025-03-12T10:13:32.743428,976.56,-118.65,-130.62,-0.98,-2.26,-2.68,-100.85,-3.96,18.41,2025-03-12T10:13:32.743428,0.45220608926279404
