time,ankle_angle_l_moment,ankle_angle_r_moment,ground_force_right_vx,ground_force_right_vy,ground_force_right_vz,ground_force_right_px,ground_force_right_py,ground_force_right_pz,ground_torque_right_x,ground_torque_right_y,ground_torque_right_z,ground_force_left_vx,ground_force_left_vy,ground_force_left_vz,ground_force_left_px,ground_force_left_py,ground_force_left_pz,ground_torque_left_x,ground_torque_left_y,ground_torque_left_z,imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw
10.2,0.92778378,-75.4766695,51.36309438,763.09403308,-49.42157705,-1.35828733,0.0,0.64018387,0.0,6.42295219,0.0,-7.63574325,6.70717608,-3.99409685,-1.03460562,0.0,0.30194089,0.0,-1e-08,0.0,383.9739241314987,-156.90494180178098,922.0402588575006,-2.211758851112207,-4.796402187384185,-6.006894604367106,-27.0480075894055,-7.954672850626705,14.236669477557593,926.683781670436,-387.9962107912658,-169.8615826593585,-15.451053956328943,-27.78107503801089,26.260896290901663,-112.36089207456527,-19.864005902870947,-25.772663574686646
10.21,1.11272277,-88.71050646,46.58754547,788.6797442,-44.28148497,-1.34278247,0.0,0.63765208,0.0,6.08564138,0.0,-10.13773775,10.13559132,-7.52083381,-1.0274856,0.0,0.3060577,0.0,-1.1e-07,0.0,381.9781915749931,-159.2137053930778,921.5406868795277,-2.4698497451033283,-5.3726348269386195,-5.928956265092559,-26.94451569627045,-7.870346122887032,14.198339146766832,920.5700939093098,-388.1520874698149,-166.46168231821804,-16.230437349074407,-28.27298094982565,26.15995975315266,-112.3174510330024,-19.783512208210347,-25.814826938556486
10.22,1.47692142,-100.72319845,41.89337848,807.13627325,-38.24507295,-1.32840125,0.0,0.63455987,0.0,5.53556983,0.0,-14.9407149,18.06856032,-16.16586065,-1.02158049,0.0,0.31067276,0.0,-5.9e-07,0.0,379.9824590184879,-161.5224689843742,921.0411149015549,-2.7279406390944034,-5.948867466492951,-5.851017925818026,-26.841023803135414,-7.786019395147373,14.160008815976079,914.4564061481846,-388.30796414836396,-163.06178197707817,-17.009820741819734,-28.76488686164032,26.059023215403673,-112.27400999143956,-19.703018513549765,-25.856990302426315
10.23,1.93426381,-109.62726533,38.02704364,812.66712547,-32.59366921,-1.31613365,0.0,0.63102612,0.0,4.85508463,0.0,-21.5230811,34.67201471,-35.62953019,-1.01678844,0.0,0.31573899,0.0,-3.42e-06,0.0,388.5580468618684,-164.20302215349446,914.8360443069888,-3.5870575184051985,-7.78562611355762,-11.184136551584976,-25.589398594816295,-7.2233089050996755,14.13916361313746,934.2434269001914,-382.94286280969516,-151.16578478501987,-26.15892224425996,-32.804643157293135,29.03798231754462,-111.49901704373552,-18.606926076579157,-25.69041819343127
10.24,2.09501652,-113.72394339,38.03451622,804.69687789,-28.83441213,-1.30776222,0.0,0.62722181,0.0,4.02688482,0.0,-23.64886264,59.49752718,-66.02247386,-1.01305257,0.0,0.32112573,0.0,-2.427e-05,0.0,391.5970087739939,-165.35271792113483,917.1354358422697,-4.447648502369938,-10.081655965307295,-13.870121692943673,-25.18263488755171,-7.169521968601879,14.132440246075236,947.2934823679692,-380.0719850741253,-173.0772380408096,-24.703313275288348,-34.7712280229938,29.18253470938245,-111.16957205768651,-18.260672672874595,-25.693779876962385
10.25,1.7048274,-112.27127675,35.03509866,771.91420961,-24.47922159,-1.30147108,0.0,0.62349233,0.0,2.87832887,0.0,-17.85338457,87.01090038,-97.00782645,-1.01035434,0.0,0.32650287,0.0,-0.00020333,0.0,394.6359706861193,-166.50241368877522,919.4348273775504,-5.308239486334677,-12.377685817056971,-16.55610683430237,-24.775871180287126,-7.115735032104083,14.12571687901301,960.3435378357469,-377.2011073385554,-194.9886912965993,-23.247704306316738,-36.73781288869448,29.32708710122028,-110.84012707163751,-17.914419269170033,-25.697141560493495
10.26,1.01607164,-106.40145286,30.00950977,714.34642826,-21.78481495,-1.29554235,0.0,0.61999359,0.0,1.54087495,0.0,-3.92660124,112.06498596,-118.44638173,-1.0084293,0.0,0.33123357,0.0,-0.00172578,0.0,397.10404985505505,-166.43147617465962,921.4286500483149,-6.071643314409926,-14.616598019084194,-18.845650591858917,-24.398130661915715,-7.072486260417923,14.116383621210293,970.8937007790801,-373.8550012078761,-214.46442444739634,-22.07622493658649,-38.68846116680735,29.45406842613842,-110.53717160888998,-17.59265113540285,-25.70067807102307
10.27,0.23207972,-97.7356556,25.89191645,643.05000076,-20.49399401,-1.29015543,0.0,0.61697054,0.0,0.24331888,0.0,15.33015225,131.57597662,-124.04942073,-1.00682988,0.0,0.33455254,0.0,-0.01559391,0.0,396.32949978862194,-159.42730900471165,921.6868334037927,-6.283021500181152,-16.531080444497867,-18.88339669646092,-24.18524263196041,-7.089094546442805,14.09222611426501,967.2444073861583,-367.80958509481906,-220.1052023191199,-22.518609282521986,-40.54858920159414,29.481245621451862,-110.38467734629788,-17.40995998912915,-25.70520760357531
10.28,3.0352157,-87.59307079,16.14141702,570.8059492,-17.77770552,-1.28547736,0.0,0.61465677,0.0,-0.82617305,0.0,19.27580156,144.92209891,-26.50724044,-1.00567515,0.0,0.33907017,0.0,-0.0961559,0.0,395.5549497221888,-152.4231418347637,921.9450167592704,-6.494399685952379,-18.44556286991154,-18.921142801062924,-23.972354602005105,-7.105702832467687,14.068068607319727,963.5951139932365,-361.764168981762,-225.74598019084345,-22.96099362845748,-42.40871723638092,29.508422816765304,-110.23218308370579,-17.227268842855445,-25.70973713612755
10.29,4.33931681,-76.33956845,11.52572734,490.4923961,-17.09061074,-1.2805556,0.0,0.61272514,0.0,-1.46279371,0.0,17.94670429,162.88016122,-3.9339268,-1.0044897,0.0,0.33913892,0.0,-0.17540503,0.0,394.7803996557557,-145.41897466481572,922.2032001147481,-6.705777871723605,-20.360045295325214,-18.958888905664928,-23.7594665720498,-7.1223111184925685,14.043911100374444,959.9458206003146,-355.71875286870494,-231.38675806256703,-23.403377974392974,-44.26884527116771,29.53560001207875,-110.07968882111369,-17.044577696581744,-25.71426666867979
10.3,5.32567771,-65.30825856,4.83669735,415.42439889,-14.98892743,-1.27559478,0.0,0.61122282,0.0,-1.73898791,0.0,13.90048946,185.43752969,-2.25385025,-1.00321852,0.0,0.33811342,0.0,-0.2576741,0.0,394.0058495893224,-138.4148074948665,922.4613834702259,-6.917156057494868,-22.27452772073923,-18.99663501026694,-23.546578542094455,-7.138919404517454,14.019753593429158,956.2965272073922,-349.6733367556468,-237.0275359342916,-23.845762320328546,-46.12897330595483,29.562777207392195,-109.92719455852156,-16.861886550308007,-25.71879620123203
10.31,6.3226289,-54.84195162,-0.17274215,345.22169174,-12.39618372,-1.27048803,0.0,0.60999594,0.0,-1.69829892,0.0,11.85358973,218.32054431,7.78394918,-1.00060591,0.0,0.33610898,0.0,-0.40561796,0.0,393.23129952288923,-131.41064032491852,922.7195668257036,-7.128534243266094,-24.189010146152903,-19.034381114868946,-23.33369051213915,-7.1555276905423355,13.995596086483875,952.6472338144704,-343.62792064258974,-242.66831380601516,-24.28814666626404,-47.98910134074162,29.58995440270564,-109.77470029592946,-16.679195404034306,-25.723325733784275
10.32,7.28858219,-45.56268034,-5.1689474,284.85973511,-8.88771073,-1.26537022,0.0,0.60898893,0.0,-1.46282065,0.0,5.52804549,266.80113339,13.31770598,-0.99672533,0.0,0.33259991,0.0,-0.5715727,0.0,392.45674945645607,-124.40647315497054,922.9777501811814,-7.339912429037319,-26.103492571566576,-19.07212721947095,-23.12080248218384,-7.172135976567218,13.971438579538592,948.9979404215486,-337.5825045295327,-248.30909167773873,-24.730531012199535,-49.84922937552841,29.617131598019082,-109.62220603333736,-16.496504257760602,-25.727855266336515
10.33,7.99841865,-37.41687354,-9.78387314,233.34877045,-5.09674321,-1.2602159,0.0,0.60815168,0.0,-1.1194725,0.0,-0.60369682,328.96940285,18.79748383,-0.99259886,0.0,0.32894266,0.0,-0.59039354,0.0,420.74832361146355,-144.65075323357925,924.4791782906419,-5.87843773776306,-63.917291402485624,-6.526010651788025,-21.637314227745364,-7.108828303322343,13.711919857976158,988.8988181587641,-408.13072026375823,-249.08370022825258,-7.057217854425439,-65.72273903119456,29.74276692873447,-108.24676895764645,-15.33965762110068,-26.18979710880041
10.34,8.46782505,-30.52404415,-13.59384835,191.08503789,-1.77778439,-1.25535274,0.0,0.6077958,0.0,-0.78920121,0.0,-8.18547085,401.6386095,23.63003807,-0.98868679,0.0,0.3255381,0.0,-0.33154651,0.0,431.75517118944964,-187.511519147857,939.3381407275904,-2.1672195451855574,-75.44827457942347,-9.152324513202021,-21.33579536168174,-7.103192436666949,13.528754191675825,1091.6829362865276,-387.8359644376814,-248.1875974300448,0.07497139797673213,-68.04471609321723,29.948476061656383,-107.89452729168427,-15.049410488347846,-26.42932144165469
10.35,8.78291624,-24.85666887,-16.54508721,157.44990927,0.26775479,-1.25093605,0.0,0.60799448,0.0,-0.53428326,0.0,-16.68164831,479.81257829,33.17519571,-0.9851925,0.0,0.32265228,0.0,0.29853462,0.0,442.7620187674358,-230.37228506213478,954.1971031645389,1.5439986473919465,-86.9792577563613,-11.778638374616015,-21.034276495618116,-7.0975565700115535,13.345588525375492,1194.467054414291,-367.5412086116046,-247.29149463183703,7.2071606503789045,-70.36669315523991,30.154185194578293,-107.54228562572209,-14.75916335559501,-26.66884577450897
10.36,8.08350437,-20.27432841,-17.61772374,130.04242864,1.42269645,-1.24647431,0.0,0.60826382,0.0,-0.31768578,0.0,-25.97678408,561.92329805,41.07187454,-0.98118427,0.0,0.31935164,0.0,1.43814744,0.0,453.7688663454219,-273.2330509764125,969.0560656014874,5.255216839969449,-98.51024093329914,-14.404952236030013,-20.73275762955449,-7.091920703356159,13.16242285907516,1297.2511725420545,-347.2464527855277,-246.39539183362925,14.339349902781077,-72.68867021726258,30.359894327500204,-107.19004395975992,-14.468916222842177,-26.90837010736325
10.37,5.74693399,-16.57025126,-17.33936327,107.70675987,2.23156002,-1.24218159,0.0,0.6085619,0.0,-0.14941046,0.0,-37.25450743,645.43690447,50.62812882,-0.97601997,0.0,0.3151704,0.0,3.37335902,0.0,464.5970213509002,-270.69734677355495,973.0212461306454,5.996783871735899,-107.7422722438284,-17.042309707119454,-20.452106516390206,-7.1077893483609795,12.965010238907862,1312.0461858877707,-320.0961858877707,-240.7762170013498,15.736124930550137,-73.46639638066513,30.95949472180327,-106.90884943249465,-14.243381696960087,-27.074761012778783
10.38,2.44487466,-13.66305284,-15.00908128,89.57131395,2.37897316,-1.23884455,0.0,0.60880199,0.0,-0.05433447,0.0,-47.06530051,712.81876351,57.6511121,-0.97113618,0.0,0.31133068,0.0,5.82228543,0.0,475.3327940312732,-244.69210826255832,971.3544471783473,5.203070084927308,-115.78576775934665,-19.685376617192063,-20.182243828875283,-7.134775617112472,12.760232081911246,1281.351686324309,-289.40168632430886,-232.71525978252174,14.16774648781636,-73.44575982220812,31.762733074053564,-106.66438558615761,-14.051302960552409,-27.203342646241776
10.39,-1.10795889,-11.3393278,-11.72527237,74.9152599,2.02069424,-1.23684086,0.0,0.60892202,0.0,-0.02195135,0.0,-49.46315416,752.98482888,63.58091236,-0.96701523,0.0,0.308273,0.0,8.05840667,0.0,486.0685667116443,-218.68686975156626,969.6876482260496,4.409356298118858,-123.8292632748635,-22.3284435272642,-19.912381141360413,-7.1617618858639585,12.555453924914666,1250.6571867608525,-258.7071867608525,-224.65430256369513,12.599368045082866,-73.42512326375109,32.56597142630372,-106.41992173982061,-13.859224224144764,-27.331924279704744
10.4,-4.27381043,-9.3067618,-8.70379493,62.08076388,1.24207314,-1.23522953,0.0,0.60897675,0.0,-0.0079219,0.0,-46.58725137,764.8920695,64.46772186,-0.96375444,0.0,0.30593827,0.0,9.6835637,0.0,496.8043393920154,-192.68163124057423,968.0208492737519,3.6156425113104085,-131.87275879038032,-24.971510437336338,-19.64251845384554,-7.188748154615446,12.350675767918085,1219.9626871973962,-228.01268719739613,-216.5933453448685,11.030989602349369,-73.40448670529408,33.369209778553866,-106.17545789348361,-13.667145487737118,-27.460505913167715
10.41,-7.16721549,-7.52199046,-6.69857261,51.33707082,1.00097672,-1.23392173,0.0,0.60904934,0.0,-0.00301087,0.0,-36.76106123,756.45429207,58.81337968,-0.96111643,0.0,0.30409242,0.0,10.70364676,0.0,507.5401120723865,-166.67639272958218,966.3540503214541,2.8219287245019586,-139.91625430589716,-27.614577347408478,-19.372655766330666,-7.215734423366933,12.145897610921505,1189.2681876339398,-197.31818763393974,-208.5323881260419,9.462611159615872,-73.38385014683705,34.17244813080402,-105.9309940471466,-13.475066751329473,-27.589087546630683
10.42,-9.43131339,-5.80781854,-6.3060214,42.10090761,2.4018413,-1.23280879,0.0,0.60922285,0.0,-0.00154133,0.0,-25.59146686,736.08180015,53.36787813,-0.95893283,0.0,0.30259575,0.0,11.22874697,0.0,518.2758847527575,-140.67115421859012,964.6872513691563,2.028214937693509,-147.959749821414,-30.257644257480614,-19.102793078815793,-7.242720692118421,11.941119453924927,1158.5736880704835,-166.62368807048338,-200.47143090721528,7.8942327168823745,-73.36321358838002,34.97568648305417,-105.6865302008096,-13.282988014921829,-27.71766918009365
